ID Sitio X Y Excavacion capa/estrato tumba Tipo_de_entierro Episodios_multiples Edad Sexo Posicion_anatomica Orientacion Pintura/Ocre Desarticulacion_osea Restos_humanos_aislados Objetos_asociados Numero_de_objetos_asociados Presencia_fauna Numero_total Num_venado Num_cuy Num_liticos Acumulaciones_de_arenisca Presencia_de_Carbon Soportes_de_piedra Estructura_de_madera Tipo_de_tumba
IND44-171 Alcaparros 5.981880039 1.319587469 Gonzales Segmento_2 A10 Entierro_primario 0 Adulto NA Decubito_lateral_derecho Norte 1 0 1 1 653 1 310 NA NA 343 1 1 1 0 Irregular
IND45-172 Alcaparros 5.559853096 1.035530872 Gonzales Segmento_2(nivel8) A10 Entierro_primario 0 Adulto Femenino Decubito_lateral_izquierdo Norte 0 0 1 1 653 1 310 NA NA 343 1 1 1 0 Irregular
IND46-178 Alcaparros 1.347699563 1.757846218 Gonzales Segmento_1(nivel7y8) A11 Entierro_primario 0 Subadulto NA Decubito_lateral_izquierdo Norte 1 0 0 1 151 1 93 NA NA 58 1 1 0 0 Irregular
IND47-179 Alcaparros -0.186206059 3.234940521 Gonzales Segmento_1(nivel5y7) A12 Entierro_primario 0 Adulto Masculino Decubito_lateral_derecho NA 1 0 0 1 373 1 227 NA NA 146 1 1 0 0 Oval
IND48-180 Alcaparros 0.544225189 4.858121073 Gonzales Segmento_1(nivel7) A13 Entierro_primario 0 Subadulto NA Decubito_lateral_izquierdo NA 1 0 0 1 137 1 67 NA NA 70 1 1 0 0 Irregular
IND49-181 Alcaparros 3.230589003 1.238428441 Gonzales Segmento_1 A14 Entierro_primario 0 Subadulto NA Decubito_lateral_izquierdo Norte 1 0 0 1 170 1 140 NA NA 30 1 1 0 0 Irregular
IND50-185 Alcaparros 3.993483863 7.49578947 Gonzales Segmento_1(nivel6y7) A15 Entierro_primario 0 Adulto Femenino Decubito_lateral_derecho Sur 0 0 0 1 133 1 91 NA NA 42 1 1 0 0 Oval
IND51-186 Alcaparros 1.712915187 1.287123858 Gonzales Segmento_1(nivel11y12) A16 Entierro_primario 0 Adulto Masculino Decubito_lateral_izquierdo Sur 0 0 0 1 149 1 115 NA NA 34 1 1 0 0 Oval
IND52-187 Alcaparros 2.727802062 0.981762395 Gonzales Segmento_1(nivel8) A17 Entierro_primario 0 Subadulto NA Decubito_dorsal Sur 1 0 1 1 122 1 94 NA NA 27 1 1 0 0 Irregular
IND53-188 Alcaparros 2.869085628 1.026378258 Gonzales Segmento_1 A17 Entierro_primario 0 Subadulto NA NA NA 0 0 1 1 122 1 94 NA NA 27 1 1 0 0 Irregular
IND54-44 Alcaparros 2.28102838 -1.61836933 Gonzales Segmento_2(nivel29 A18 Entierro_primario 0 Adulto Masculino Decubito_dorsal Sur 0 0 0 1 655 1 440 NA NA 215 1 1 0 0 Irregular
IND55-45 Alcaparros 2.565084977 -1.520978497 Gonzales Segmento_2(nivel2) A18 Entierro_primario 0 Adulto Femenino Decubito_lateral_izquierdo Norte 1 0 0 1 655 1 440 NA NA 215 1 1 0 0 Irregular
IND56-46 Alcaparros 1.996971783 -1.537210303 Gonzales Segmento_2(nivel2) A18 Entierro_primario 0 Adulto Masculino Decubito_lateral_derecho Sur 0 0 0 1 655 1 440 NA NA 215 1 1 0 0 Irregular
IND57-47 Alcaparros 4.496669834 0.516113096 Gonzales Segmento_2(nivel5) A19 Entierro_primario 0 Adulto Femenino Decubito_lateral_derecho Suroeste 0 0 0 1 777 1 454 NA NA 323 1 0 0 0 Irregular
IND58-53 Alcaparros 4.723915111 0.694662956 Gonzales Segmento_2(nivel6) A19 Entierro_primario 0 Adulto NA Decubito_lateral_izquierdo Suroeste 0 0 0 1 777 1 454 NA NA 323 1 1 0 0 Irregular
IND59-65 Alcaparros 4.253192751 0.337563235 Gonzales Segmento_2(nivel5) A19 Entierro_primario 0 Adulto NA Decubito_lateral_izquierdo Suroeste 1 0 0 1 777 1 454 NA NA 323 1 1 0 0 Irregular
IND60-51 Alcaparros 4.537249348 -1.20445829 Gonzales Segmento_2 A6 Entierro_primario 0 Adulto Femenino Decubito_lateral_izquierdo Noroeste 1 0 0 1 172 1 52 NA NA 120 1 1 0 0 Irregular
IND61-52 Alcaparros 3.685079558 -0.287361278 Gonzales Segmento_2(nivel3) A21 Entierro_primario 0 Neonato NA Decubito_lateral_izquierdo Sur 1 0 0 1 149 1 103 NA NA 45 1 1 0 0 Oval
IND62-50 Alcaparros 3.790586294 -0.514606555 Gonzales Segmento_2(nivel3) A21 Entierro_primario 0 Adulto Masculino Decubito_lateral_izquierdo Sur 1 0 0 1 560 1 320 NA NA 240 1 1 0 0 Oval
